,名前,名詞,エネルギー,タンパク質,脂質,食物繊維総量,炭水化物,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,ビタミンA,ビタミンD,ビタミンE,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ビタミン6,ビタミン12,葉酸,パントテン酸,ビオチン,ビタミンC,time
8,アマランサス　玄穀,"['アマランサス', '玄', '穀']",343.0,12.7,6.0,7.4,64.9,1.0,600.0,160.0,270.0,540.0,9.4,5.8,0.92,6.14,1,13.0,7.0,59.0,0.0,0.0,1.3,0.0,0.04,0.14,1.0,0.58,0.0,130.0,1.69,16.0,0.0,29.0
9,あわ　精白粒,"['あわ', '精白', '粒']",346.0,11.2,4.4,3.3,69.7,1.0,300.0,14.0,110.0,280.0,4.8,2.5,0.49,0.88,0,2.0,1.0,22.0,0.0,0.0,0.6,0.0,0.56,0.07,2.9,0.18,0.0,29.0,1.83,14.0,0.0,29.0
10,あわ　あわもち,"['あわ', 'あわ', 'もち']",210.0,5.1,1.3,1.5,45.3,0.0,62.0,5.0,12.0,39.0,0.7,1.1,0.2,0.46,0,1.0,0.0,40.0,0.0,0.0,0.1,0.0,0.08,0.01,0.3,0.03,0.0,7.0,0.61,3.4,0.0,28.0
11,えんばく　オートミール,"['ん', 'ばく', 'オートミール']",350.0,13.7,5.7,9.4,69.1,3.0,260.0,47.0,100.0,370.0,3.9,2.1,0.28,0.0,0,18.0,0.0,110.0,0.0,0.0,0.6,0.0,0.2,0.08,1.1,0.11,0.0,30.0,1.29,22.0,0.0,24.0
12,おおむぎ　七分つき押麦,"['むぎ', '七', '分', 'つき', '押麦']",343.0,10.9,2.1,10.3,72.1,2.0,220.0,23.0,46.0,180.0,1.3,1.4,0.32,0.85,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.22,0.07,3.2,0.14,0.0,17.0,0.43,0.0,0.0,22.0
13,おおむぎ　押麦　乾,"['むぎ', '押麦', '乾']",329.0,6.7,1.5,12.2,78.3,2.0,210.0,21.0,40.0,160.0,1.1,1.1,0.22,0.86,0,1.0,0.0,11.0,0.0,0.0,0.1,0.0,0.11,0.03,3.4,0.13,0.0,10.0,0.4,2.7,0.0,12.0
14,おおむぎ　押麦　めし,"['むぎ', '押麦', 'めし']",118.0,2.2,0.5,4.2,28.5,0.0,38.0,6.0,10.0,46.0,0.4,0.4,0.08,0.24,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.02,0.0,0.8,0.03,0.0,3.0,0.13,0.8,0.0,12.0
15,おおむぎ　米粒麦,"['むぎ', '米', '粒', '麦']",333.0,7.0,2.1,8.7,76.2,2.0,170.0,17.0,25.0,140.0,1.2,1.2,0.37,0.0,0,1.0,0.0,9.0,0.0,0.0,0.1,0.0,0.19,0.05,2.3,0.19,0.0,10.0,0.64,3.5,0.0,25.0
16,おおむぎ　大麦めん　乾,"['むぎ', '大麦', 'めん', '乾']",343.0,12.9,1.7,6.3,68.0,1100.0,240.0,27.0,63.0,200.0,2.1,1.5,0.33,0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.04,3.5,0.09,0.0,19.0,0.64,0.0,0.0,10.0
17,おおむぎ　大麦めん　ゆで,"['むぎ', '大麦', 'めん']",121.0,4.8,0.6,2.5,24.3,64.0,10.0,12.0,18.0,61.0,0.9,0.6,0.13,0.27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,1.0,0.01,0.0,5.0,0.26,0.0,0.0,22.0
