,名前,名詞,エネルギー,タンパク質,脂質,食物繊維総量,炭水化物,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,ビタミンA,ビタミンD,ビタミンE,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ビタミン6,ビタミン12,葉酸,パントテン酸,ビオチン,ビタミンC,time
2436,和風料理　和え物類　青菜の白和え,"['和風', '料理', '和え物', '類', '青菜', '白和え']",81.0,4.2,3.4,2.4,10.5,500.0,180.0,95.0,42.0,69.0,1.2,0.6,0.15,0.35,2.0,4.0,2.0,21.0,0.0,0.0,0.6,70.0,0.06,0.05,0.5,0.07,0.0,32.0,0.11,2.9,3.0,22.0
2437,和風料理　和え物類　いんげんのごま和え,"['和風', '料理', '和え物', '類', 'げん', 'ごま']",77.0,3.7,3.4,2.8,9.1,480.0,270.0,120.0,44.0,88.0,1.3,0.7,0.15,0.48,1.0,4.0,1.0,10.0,3.0,0.2,0.2,39.0,0.08,0.1,0.9,0.11,0.1,52.0,0.2,2.0,5.0,28.0
2438,和風料理　和え物類　わかめとねぎの酢みそ和え,"['和風', '料理', '和え物', '類', 'わかめ', 'ねぎ', '酢みそ']",85.0,3.8,0.9,2.5,16.3,730.0,140.0,40.0,20.0,56.0,0.9,0.4,0.1,0.06,120.0,4.0,1.0,8.0,1.0,0.0,0.3,24.0,0.03,0.04,0.6,0.06,0.3,31.0,0.1,2.5,4.0,28.0
2439,和風料理　汁物類　とん汁,"['和風', '料理', '汁物', '類', 'とん汁']",26.0,1.5,1.5,0.5,2.0,220.0,63.0,10.0,6.0,18.0,0.2,0.2,0.03,0.02,0.0,1.0,0.0,3.0,0.0,0.0,0.1,2.0,0.03,0.01,0.3,0.03,0.1,7.0,0.05,0.8,1.0,10.0
2440,和風料理　酢の物類　紅白なます,"['和風', '料理', '酢の物', '類', '紅白']",34.0,0.6,0.6,0.9,7.2,230.0,130.0,22.0,9.0,16.0,0.2,0.1,0.02,0.05,2.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.02,0.01,0.2,0.03,0.0,19.0,0.08,0.5,6.0,24.0
2441,和風料理　煮物類　卯の花いり,"['和風', '料理', '煮物', '類', '卯の花']",84.0,4.4,4.1,5.1,10.7,450.0,190.0,47.0,24.0,68.0,0.8,0.4,0.07,0.25,1.0,3.0,1.0,20.0,3.0,0.1,0.5,10.0,0.06,0.04,0.5,0.05,0.1,13.0,0.22,2.9,1.0,20.0
2442,和風料理　煮物類　親子丼の具,"['和風', '料理', '煮物', '類', '親子', '丼', '具']",101.0,8.4,5.2,0.4,5.6,380.0,120.0,21.0,12.0,88.0,0.7,0.7,0.04,0.08,7.0,8.0,0.0,3.0,51.0,0.7,0.4,14.0,0.04,0.13,1.0,0.09,0.4,20.0,0.53,7.3,2.0,29.0
2443,和風料理　煮物類　牛飯の具,"['和風', '料理', '煮物', '類', '牛', '飯', '具']",122.0,4.1,9.4,1.0,6.4,400.0,110.0,18.0,10.0,45.0,0.6,0.9,0.03,0.1,0.0,4.0,1.0,3.0,2.0,0.0,0.2,5.0,0.02,0.04,1.1,0.1,0.5,9.0,0.2,1.3,2.0,19.0
2444,和風料理　煮物類　切り干し大根の煮物,"['和風', '料理', '煮物', '類', '切り干し', '大根', '煮物']",48.0,2.3,2.5,2.0,5.7,370.0,76.0,46.0,18.0,39.0,0.5,0.3,0.02,0.18,0.0,2.0,0.0,5.0,0.0,0.0,0.2,6.0,0.01,0.02,0.5,0.02,0.1,7.0,0.08,1.2,0.0,13.0
2445,和風料理　煮物類　きんぴらごぼう,"['和風', '料理', '煮物', '類', 'きん', 'ぴらごぼう']",84.0,1.4,4.5,3.2,11.3,350.0,150.0,36.0,25.0,37.0,0.5,0.4,0.09,0.16,0.0,1.0,0.0,3.0,0.0,0.0,0.7,7.0,0.03,0.03,0.3,0.07,0.0,32.0,0.14,1.0,1.0,21.0
2446,和風料理　煮物類　ぜんまいのいため煮,"['和風', '料理', '煮物', '類', 'ぜんまい', 'いため']",80.0,3.4,4.2,2.2,8.7,420.0,67.0,47.0,19.0,50.0,0.7,0.4,0.08,0.29,0.0,2.0,0.0,6.0,0.0,0.0,0.4,17.0,0.01,0.02,0.2,0.03,0.0,7.0,0.07,1.3,0.0,28.0
2447,和風料理　煮物類　筑前煮,"['和風', '料理', '煮物', '類', '筑前']",85.0,4.4,3.5,1.8,10.2,430.0,160.0,22.0,15.0,55.0,0.5,0.5,0.05,0.21,0.0,1.0,0.0,2.0,6.0,0.1,0.4,12.0,0.04,0.05,1.0,0.08,0.1,16.0,0.31,0.9,4.0,13.0
2448,和風料理　煮物類　肉じゃが,"['和風', '料理', '煮物', '類', '肉じゃが']",78.0,4.3,1.3,1.3,13.0,480.0,210.0,13.0,14.0,44.0,0.8,0.9,0.07,0.14,0.0,3.0,1.0,5.0,1.0,0.0,0.2,3.0,0.05,0.05,0.9,0.14,0.1,14.0,0.3,1.4,9.0,24.0
2449,和風料理　煮物類　ひじきのいため煮,"['和風', '料理', '煮物', '類', 'ひじき', 'いため']",75.0,3.1,4.0,3.4,9.9,560.0,180.0,100.0,43.0,45.0,0.6,0.3,0.03,0.23,750.0,3.0,2.0,7.0,0.0,0.0,0.7,40.0,0.02,0.02,0.4,0.03,0.1,6.0,0.08,2.2,0.0,15.0
2450,和風料理　その他　アジの南蛮漬け,"['和風', '料理', 'その他', 'アジ', '南蛮', '漬け']",109.0,8.1,6.1,0.9,6.2,290.0,190.0,37.0,19.0,110.0,0.4,0.5,0.04,0.1,8.0,23.0,1.0,2.0,2.0,3.9,0.8,9.0,0.06,0.06,2.2,0.12,2.1,7.0,0.22,2.3,3.0,27.0
2451,和風料理　その他　松前漬け　しょうゆ漬,"['和風', '料理', 'その他', '松前', '漬け', 'しょうゆ', '漬']",166.0,17.0,1.4,1.6,24.7,2000.0,310.0,41.0,59.0,170.0,0.6,1.3,0.18,0.15,10000.0,33.0,3.0,3.0,2.0,1.0,1.7,7.0,0.06,0.04,1.8,0.08,4.5,15.0,0.16,5.1,0.0,14.0
2452,洋風料理　カレー類　チキンカレー,"['洋風', '料理', 'カレー', '類', 'チキン', 'カレー']",131.0,5.6,8.8,1.2,8.4,540.0,170.0,20.0,13.0,58.0,0.7,0.5,0.06,0.15,1.0,2.0,1.0,2.0,12.0,0.0,0.6,15.0,0.04,0.07,1.2,0.11,0.1,10.0,0.34,1.7,3.0,28.0
2453,洋風料理　カレー類　ビーフカレー,"['洋風', '料理', 'カレー', '類', 'ビーフカレー']",119.0,2.4,9.0,0.9,8.1,680.0,93.0,20.0,8.0,32.0,0.7,0.4,0.04,0.12,1.0,2.0,1.0,2.0,1.0,0.0,0.4,3.0,0.02,0.03,0.4,0.05,0.2,4.0,0.14,0.9,1.0,27.0
2454,洋風料理　カレー類　ポークカレー,"['洋風', '料理', 'カレー', '類', 'ポーク', 'カレー']",116.0,2.8,8.6,0.9,7.7,550.0,100.0,14.0,7.0,32.0,0.5,0.3,0.04,0.1,0.0,3.0,1.0,2.0,1.0,0.1,0.4,3.0,0.07,0.03,0.7,0.06,0.1,5.0,0.16,1.3,2.0,16.0
2455,洋風料理　コロッケ類　カニクリームコロッケ,"['洋風', '料理', 'コロッケ', '類', 'カニクリームコロッケ']",255.0,5.1,17.1,1.0,22.0,320.0,94.0,30.0,14.0,51.0,0.4,0.4,0.08,0.15,1.0,0.0,0.0,1.0,8.0,0.1,2.2,23.0,0.05,0.07,0.7,0.03,0.3,12.0,0.23,0.2,0.0,18.0
2456,洋風料理　コロッケ類　コーンクリームコロッケ,"['洋風', '料理', 'コロッケ', '類', 'コーンクリームコロッケ']",245.0,5.1,16.0,1.4,23.4,330.0,150.0,47.0,18.0,76.0,0.4,0.5,0.06,0.18,1.0,0.0,0.0,1.0,15.0,0.1,1.8,21.0,0.06,0.08,0.7,0.04,0.1,27.0,0.34,0.2,2.0,10.0
2457,洋風料理　コロッケ類　ポテトコロッケ,"['洋風', '料理', 'コロッケ', '類', 'ポテト', 'コロッケ']",226.0,5.3,12.6,2.0,25.2,280.0,250.0,15.0,19.0,60.0,0.8,0.5,0.11,0.2,1.0,2.0,1.0,2.0,5.0,0.1,1.5,18.0,0.11,0.05,1.1,0.14,0.1,23.0,0.46,1.4,10.0,15.0
2458,洋風料理　シチュー類　チキンシチュー,"['洋風', '料理', 'シチュー', '類', 'チキン', 'シチュー']",124.0,6.2,8.0,1.2,7.8,280.0,160.0,38.0,13.0,77.0,0.4,0.6,0.04,0.07,4.0,1.0,1.0,2.0,17.0,0.1,0.7,26.0,0.04,0.1,1.2,0.1,0.1,15.0,0.5,1.1,7.0,16.0
2459,洋風料理　シチュー類　ビーフシチュー,"['洋風', '料理', 'シチュー', '類', 'ビーフ', 'シチュー']",153.0,4.1,12.6,0.7,7.1,380.0,150.0,11.0,9.0,45.0,0.5,0.8,0.04,0.06,1.0,3.0,1.0,1.0,6.0,0.1,0.7,17.0,0.03,0.06,1.2,0.1,0.4,13.0,0.26,1.3,4.0,25.0
2460,洋風料理　素揚げ類　ミートボール,"['洋風', '料理', '素', '揚げ', '類', 'ミート', 'ボール']",201.0,10.2,12.5,1.3,13.4,460.0,240.0,22.0,26.0,86.0,0.8,0.8,0.1,0.21,160.0,7.0,1.0,2.0,6.0,0.1,1.2,19.0,0.15,0.12,2.2,0.16,0.2,24.0,0.58,3.4,1.0,29.0
2461,洋風料理　スープ類　かぼちゃのクリームスープ,"['洋風', '料理', 'スープ', '類', 'かぼちゃ', 'クリーム', 'スープ']",73.0,1.5,3.9,1.3,10.1,300.0,160.0,32.0,10.0,38.0,0.2,0.2,0.03,0.06,4.0,1.0,0.0,1.0,19.0,0.2,1.4,7.0,0.03,0.06,0.4,0.07,0.1,12.0,0.31,0.5,9.0,25.0
2462,洋風料理　スープ類　コーンクリームスープ　コーンクリームスープ,"['洋風', '料理', 'スープ', '類', 'コーンクリームスープ', 'コーンクリームスープ']",62.0,1.7,2.6,0.6,8.5,340.0,88.0,36.0,7.0,42.0,0.2,0.2,0.02,0.03,5.0,1.0,0.0,2.0,14.0,0.2,0.2,2.0,0.02,0.06,0.3,0.02,0.1,6.0,0.22,0.9,1.0,18.0
2463,洋風料理　スープ類　コーンクリームスープ　粉末タイプ,"['洋風', '料理', 'スープ', '類', 'コーンクリームスープ', '粉末', 'タイプ']",425.0,8.1,13.7,0.0,67.4,2800.0,470.0,120.0,0.0,190.0,1.2,0.0,0.0,0.0,4.0,13.0,3.0,13.0,0.0,0.0,0.0,0.0,0.15,0.41,3.5,0.0,0.0,0.0,0.0,7.5,2.0,25.0
2464,洋風料理　ハンバーグステーキ類　合いびきハンバーグ,"['洋風', '料理', 'ハンバーグ', 'ステーキ', '類', '合いびき', 'ハンバーグ']",197.0,13.4,12.2,1.1,10.0,340.0,280.0,29.0,23.0,110.0,1.3,2.4,0.09,0.14,1.0,9.0,1.0,1.0,11.0,0.2,0.6,7.0,0.23,0.15,3.0,0.2,0.5,17.0,0.71,2.5,2.0,17.0
2465,洋風料理　ハンバーグステーキ類　チキンハンバーグ,"['洋風', '料理', 'ハンバーグ', 'ステーキ', '類', 'チキン', 'ハンバーグ']",171.0,12.6,10.2,1.0,8.5,460.0,240.0,22.0,23.0,110.0,0.7,0.8,0.07,0.13,2.0,10.0,1.0,2.0,19.0,0.1,0.8,18.0,0.09,0.11,4.1,0.26,0.2,18.0,0.89,2.9,2.0,26.0
2466,洋風料理　ハンバーグステーキ類　豆腐ハンバーグ,"['洋風', '料理', 'ハンバーグ', 'ステーキ', '類', '豆腐', 'ハンバーグ']",142.0,9.9,9.2,1.3,8.4,250.0,200.0,68.0,42.0,120.0,1.3,0.9,0.13,0.31,5.0,5.0,2.0,24.0,15.0,0.2,0.8,13.0,0.11,0.09,1.9,0.14,0.2,21.0,0.46,4.7,2.0,21.0
